,id,Scientific_Name,Common_Name,size,Size_category,Mass,Habitat,Habitat_Category,Migration,Trophic_Level__Feeding_Habits_,Min_Latitude,Max_Latitude,Centroid_Latitude,Centroid_Longitude,Range_Size,General_Describtion,species_status,status
10277,4187,locustella thoracica,Spotted Bush-Warbler,125.9,Small,10.8,Shrubland,Semi-open habitats,1,Carnivore,23.56,36.91,30.44,100.03,1091322.31,"The spotted bush warbler (Locustella thoracica) is a species of Old World warbler in the family Locustellidae.
It is found in the northern Himalayas, Yunnan and central China, in the countries of Bangladesh, Bhutan, China, India, Myanmar and Nepal.[2] Its natural habitat is arboreal forests.",Least Concern,ENRICHED
10278,9964,loddigesia mirabilis,Marvelous Spatuletail,138.9,Small,3.0,Shrubland,Semi-open habitats,1,Herbivore,-6.80,-5.80,-6.37,-77.76,1772.90,"The marvelous spatuletail (Loddigesia mirabilis) is an endangered species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae. It is endemic to northern Peru.[3][4][1]",Not Evaluated,ENRICHED
10279,7686,lonchura fuscata,Timor Sparrow,128.6,Small,20.7,Shrubland,Open habitats,1,Herbivore,-10.94,-8.33,-9.28,125.07,24603.86,"The Timor sparrow (Padda fuscata), also known as Timor dusky sparrow, is a small, approximately 14 cm (5.5 in) long, plump dark brown songbird with a large silvery-blue bill, white cheek, pink feet and creamy-white belly. Both sexes are similar.",Near Threatened,ENRICHED
10280,5297,lonchura kelaarti,Black-throated Munia,107.2,Small,14.1,Shrubland,Semi-open habitats,1,Herbivore,6.02,20.36,13.12,79.06,139953.15,"The black-throated munia or   Jerdon's mannikin  (Lonchura kelaarti) is a small passerine bird. This estrildid finch is a resident breeding bird in the hills of southwest India, the Western Ghats, Eastern Ghats and Sri Lanka.",extant,ENRICHED
10281,5613,lonchura pallida,Pale-headed Munia,101.5,Small,12.0,Shrubland,Semi-open habitats,1,Herbivore,-10.94,0.00,-5.21,121.29,226245.63,"The pale-headed munia (Lonchura pallida) is a species of estrildid finch found in Indonesia. It is found in artificial landscapes, subtropical and tropical lowlands, dry shrubland and grassland habitat. The status of the species is evaluated as Least Concern.",Least Concern,ENRICHED
10282,4653,lonchura quinticolor,Five-colored Munia,110.1,Small,13.27,Shrubland,Open habitats,1,Herbivore,-10.94,-6.66,-8.89,122.46,86198.60,"The five-colored munia (Lonchura quinticolor) is a common species of estrildid finch found in the Lesser Sunda Islands. It  inhabits many different habitats even in artificial landscapes, forest, shrubland and wet grassland habitats. The status of the species is evaluated as Least Concern.",Least Concern,ENRICHED
10283,9238,lonchura striata,White-rumped Munia,103.6,Small,12.3,Shrubland,Open habitats,1,Herbivore,-5.95,31.83,19.24,100.40,5429668.12,"The white-rumped munia (Lonchura striata) or white-rumped mannikin, sometimes called striated finch in aviculture, is a small passerine bird from the family of waxbill ""finches"" (Estrildidae). These are not close relatives of the true finches (Fringillidae) or true sparrows (Passeridae).",extant,ENRICHED
10284,9062,lophophorus lhuysii,Chinese Monal,704.0,Large,3008.0,Shrubland,Semi-open habitats,1,Herbivore,29.81,34.15,32.05,101.20,175682.11,"The Chinese monal or Chinese impeyan (Lophophorus lhuysii) is a pheasant. This monal is restricted to mountains of central China. The plumage is highly iridescent. The male has a large drooping purple crest, a metallic green head, blue bare skin around the eyes, a reddish gold mantle, bluish green feathers and black underparts. The female is dark brown with white on its throat.",Vulnerable,ENRICHED
10285,7644,lophospingus griseocristatus,Gray-crested Finch,148.8,Medium,17.9,Shrubland,Open habitats,1,Omnivore,-23.86,-16.02,-19.35,-64.98,84852.79,The grey-crested finch (Lophospingus griseocristatus) is a species of bird in the tanager family Thraupidae. It is found in Bolivia and northwestern Argentina where its natural habitats are subtropical or tropical high-altitude shrubland and heavily degraded former forest. The bird was first described in 1837 by the French ornithologist Frédéric de Lafresnaye and the French zoologist Alcide d'Orbigny after the latter had collected it on an expedition he undertook for the Paris Museum to South America between 1826 and 1833.[2],Least Concern,ENRICHED
10286,8317,lophospingus pusillus,Black-crested Finch,131.9,Small,14.44,Shrubland,Semi-open habitats,1,Omnivore,-32.83,-17.81,-24.79,-62.76,559474.54,"The black-crested finch (Lophospingus pusillus) is a species of bird in the tanager family Thraupidae. It is found in Bolivia, Paraguay and northern Argentina.
Its natural habitats are subtropical or tropical dry shrubland and subtropical or tropical high-altitude shrubland. It is a fairly common bird with a very wide range, and the International Union for Conservation of Nature has rated it to be a ""least-concern species"".[1]",Not Evaluated,ENRICHED
10287,5966,lophotis gindiana,Buff-crested Bustard,465.5,Large,782.3,Shrubland,Open habitats,1,Omnivore,-8.54,11.99,3.04,40.95,1777669.92,The buff-crested bustard (Lophotis gindiana) is a medium-sized bird of East Africa belonging to the family Otididae. The populations are stable and the species is of least concern.[1],Least Concern,ENRICHED
