species_no,scientific_name
9552,zoothera dauma
7505,psarocolius wagleri
3676,pheugopedius fasciatoventris
10715,ardea purpurea
3840,microcerculus ustulatus
10912,cyanistes caeruleus
252,ploceus dorsomaculatus
1511,peliperdix schlegelii
6531,gymnophaps albertisii
6198,chondrohierax wilsonii
1171,pachycephala caledonica
8130,heliornis fulica
4999,serpophaga nigricans
703,oxylabes madagascariensis
2163,newtonia amphichroa
6778,nyctibius bracteatus
6365,artamus personatus
9025,morus serrator
10449,accipiter cooperii
7708,ixobrychus eurhythmus
2171,phylloscartes superciliaris
9931,diopsittaca nobilis
9772,calidris ruficollis
9398,milvago chimachima
6184,gallirallus torquatus
6619,hemicircus canente
909,myioborus castaneocapilla
2494,xenornis setifrons
7531,arachnothera magna
2121,asthenes hudsoni
5303,campylorhynchus zonatus
9887,paroaria dominicana
2208,alophoixus longirostris
1906,oriolus melanotis
7595,grallaria gigantea
10602,ramphastos sulfuratus
1341,rhipidura albolimbata
4855,cichladusa arquata
545,apalis nigriceps
6453,upupa epops marginata
7300,apalharpactes reinwardtii
5000,sporophila ardesiaca
5225,metallura williami
1683,phyllomyias plumbeiceps
1615,phylloscopus forresti
5135,accipiter griseiceps
5202,garrulax galbanus
2705,smithornis sharpei
887,camaroptera superciliaris
5962,streptopelia hypopyrrha
9810,circaetus cinereus
10167,phalacrocorax brasilianus
1570,ploceus nelicourvi
7333,garrulax taewanus
9755,calidris fuscicollis
147,drymocichla incana
6719,cyclopsitta gulielmitertii
9905,pelecanus rufescens
737,myzomela caledonica
6222,manucodia ater
990,coracina holopolia
3249,sasia africana
8846,phoeniculus purpureus
6809,pterodroma heraldica
1495,asthenes luizae
279,cinnyris prigoginei
3959,geokichla piaggiae
3268,columba thomensis
2733,parus carpi
1786,mionectes macconnelli
3080,apus acuticauda
7611,cladorhynchus leucocephalus
1550,hellmayrea gularis
8536,acanthiza chrysorrhoa
2721,tyrannus niveigularis
3738,cnemophilus loriae
541,neolestes torquatus
8106,phaenicophaeus tristis
9476,amazona barbadensis
4528,urosticte ruficrissa
7958,tringa guttifer
156,scytalopus bolivianus
10364,anas poecilorhyncha
8388,streptopelia semitorquata
7152,todiramphus pyrrhopygius
4882,eremopterix leucotis
5862,psittacara strenuus
6774,cinnyris coccinigastrus
5756,vanellus melanopterus
6020,lampornis viridipallens
6871,pterodroma hypoleuca
2686,myioparus griseigularis
8405,cardinalis phoeniceus
5805,micrastur mirandollei
9770,vanellus indicus
7219,psittacara chloroptera
4772,fregilupus varius
7262,elanus scriptus
376,herpsilochmus dorsimaculatus
7801,camptostoma imberbe
6372,turdoides nipalensis
680,biziura delautouri
4861,diglossa brunneiventris
7532,alcippe poioicephala
1830,aerodramus terraereginae
831,scytalopus latebricola
3809,cuculus rochii
10049,trochilus polytmus
6501,pselliophorus tibialis
5248,chloropipo flavicapilla
8928,foudia madagascariensis
8011,boissonneaua matthewsii
2442,campochaera sloetii
9561,morphnus guianensis
333,eremophila dichroantha
1026,ploceus albinucha
6717,leucopternis semiplumbeus
966,accipiter francesii pusillus
10256,paroaria coronata
3982,rallus antarcticus
1023,phylloscartes oustaleti
214,foudia delloni
5981,corapipo altera
7507,pyrilia vulturina
6047,myrmotherula schisticolor
797,atlapetes canigenis
8366,otus sunia
6560,microcarbo coronatus
5026,urocynchramus pylzowi
5961,patagioenas caribaea
2055,rhabdornis mystacalis
7951,puffinus assimilis
4529,arborophila ardens
7349,pitangus lictor
7059,pteroglossus erythropygius
8577,chloephaga poliocephala
3442,himatione fraithii
3300,arremon abeillei
9494,emberiza spodocephala
6636,hylomanes momotula
231,streptoprocne phelpsi
8408,palaeeudyptes klekowskii
7954,icterus pectoralis
7232,gnorimopsar chopi
10681,zosterops japonicus
5832,zavattariornis stresemanni
10537,psittacula alexandri
3969,ortalis wagleri
3845,asthenes moreirae
10016,amadina fasciata
8738,anas flavirostris
6295,gerygone olivacea
9628,apteryx australis
3853,polystictus superciliaris
3706,gallinago nobilis
2993,creurgops verticalis
10778,acridotheres tristis
5773,ptilinopus marchei
3907,cinclocerthia ruficauda
1905,ochthoeca frontalis
1176,bradypterus brunneus
7591,daptrius ater
5114,schoeniophylax phryganophilus
9588,tockus nasutus
882,gymnocrex plumbeiventris
5524,myiothlypis fulvicauda
5977,picumnus innominatus
7179,artamus superciliosus
7558,columba elphinstonii
1420,grallaricula loricata
2332,ducula latrans
9124,corythaixoides concolor
4298,thamnophilus atrinucha
3191,cercomacroides nigrescens
4339,asthenes anthoides
7211,guttera plumifera
6740,tanygnathus sumatranus
8037,geotrygon violacea
6841,phalacrocorax neglectus
4491,laniocera rufescens
2303,physornis fortis
5630,meliphaga notata
8472,halcyon albiventris
369,chaetura egregia
3167,ninox theomacha
4354,laniarius funebris
6572,macronyx capensis
4958,corvus woodfordi
8109,kaupifalco monogrammicus
9817,tangara seledon
6701,urodynamis taitensis
2778,caprimulgus natalensis
5055,enicurus immaculatus
3929,phrygilus carbonarius
10349,garrulax leucolophus
606,ninox mindorensis
7756,corythaixoides personatus
1723,cinclodes albidiventris
7129,heliodoxa aurescens
2379,polioptila guianensis
2378,platyrinchus saturatus
2255,elaenia ridleyana
3893,thescelocichla leucopleura
3238,scytalopus fuscus
4836,alectoris magna
5144,ducula rufigaster
10786,troglodytes troglodytes
6518,geokichla guttata
1156,euryapteryx curtus
10924,grus grus
3073,eremomela scotops
7562,glaucidium castanotum
1105,lichmera squamata
5573,aerodramus vanikorensis
3577,lepidocolaptes leucogaster
4658,chaetocercus jourdanii
8786,claravis pretiosa
8895,pyrrhura frontalis
5458,touit batavicus
6169,psarocolius atrovirens
10845,gallinago gallinago
10316,melanocorypha calandra
9371,megascops choliba
562,myophonus melanurus
6026,trichoglossus flavoviridis
4219,oriolus brachyrynchus
1445,phyllomyias griseocapilla
4610,leptotila cassinii
2639,caprimulgus solala
7191,basileuterus lachrymosus
7549,philemon corniculatus
9040,alaemon alaudipes
550,cranioleuca vulpecula
4640,celeus grammicus
10402,carpodacus erythrinus
6084,turdus unicolor
5062,pachyramphus major
321,prinia molleri
9760,puffinus gravis
2074,zimmerius viridiflavus
742,premnoplex tatei
7033,euphonia hirundinacea
10350,pluvialis squatarola
8346,phalacrocorax nigrogularis
7661,otus ireneae
10937,strix aluco
6647,gallicolumba platenae
9243,nettapus coromandelianus
877,nonnula sclateri
3122,pomatorhinus ferruginosus
3532,enicurus borneensis
2430,ptilinopus dupetithouarsii
5104,elaenia spectabilis
2768,phylloscopus ricketti
7034,heterophasia picaoides
446,anthoscopus flavifrons
6115,amazilia chionogaster
3419,myrmeciza ferruginea
3448,amaurospiza carrizalensis
4320,phaethornis koepckeae
1522,caprimulgus ruwenzorii
8772,hemiprocne comata
4953,trochalopteron cachinnans
7789,streptopelia lugens
722,hemispingus calophrys
3755,myrmotherula minor
1389,setopagis whitelyi
718,fraseria cinerascens
6704,malurus elegans
1807,phylloscartes venezuelanus
9778,treron vernans
2690,cinnyris rockefelleri
5580,scleroptila africanus
3597,sclerurus guatemalensis
5154,euphonia luteicapilla
10491,aythya nyroca
683,gallicolumba ferruginea
898,grallaria watkinsi
43,querandiornis romani
1540,atlapetes albofrenatus
5076,phylloscopus affinis
3559,atlapetes citrinellus
9078,circus maillardi
7574,eos cyanogenia
9227,estrilda melpoda
3510,pomatostomus halli
2049,poecilotriccus plumbeiceps
420,bountyphaps obsoleta
2660,anthus hellmayri
8156,bulweria bulwerii
48,maria's bird of paradise
7379,phylloscopus orientalis
7579,eos squamata
2380,pseudocolopteryx dinelliana
475,syndactyla dimidiata
8855,megalaima nuchalis
6554,lophura inornata
3659,willisornis poecilinotus
734,myrmothera simplex
2322,calendulauda barlowi
9272,eudromia elegans
6024,alaudala cheleensis
3338,phylloscartes eximius
7080,psittacula finschii
7056,pachycephala cinerea
6358,spinus spinescens
2959,pellorneum palustre
3784,scolopax bukidnonensis
6108,procellaria conspicillata
8304,columba punicea
2746,streptoprocne semicollaris
1306,grallaria capitalis
10884,athene cunicularia
696,ninox spilocephala
4768,turdus nudigenis
1152,formicivora grantsaui
7052,eopsaltria georgiana
6497,acrocephalus australis
7319,dacnis lineata
10642,chrysolophus amherstiae
10512,gavia stellata
7774,nisaetus nanus
6399,psarocolius angustifrons
7321,tachornis squamata
1563,myza celebensis
10577,spheniscus mendiculus
5527,microrhopias quixensis
2619,amaurornis isabellina
4352,heterophasia desgodinsi
6085,crithagra gularis
10481,fulica americana
