species_no,scientific_name,species_id
178,capricorn silvereye,/m/011c5_1l
179,mulleripicus fuliginosus,/m/012kcbpy
180,aerodramus vulcanorum,/m/012kx9y3
181,scolopax rosenbergi,/m/012m2s5r
182,macrosphenus kretschmeri,/m/02vv5vc
183,phylloscopus amoenus,/m/02vv6d7
184,phylloscopus makirensis,/m/02vv6pw
185,randia pseudozosterops,/m/02vv705
186,sylvietta philippae,/m/02vv7f7
187,aerodramus amelis,/m/02w4nk9
188,criniger ndussumensis,/m/02w520d
189,phyllastrephus fischeri,/m/02w52p_
190,rallina forbesi,/m/02w5mdb
191,apalis goslingi,/m/02w5qmv
192,apalis sharpii,/m/02w5qtb
193,casiornis fuscus,/m/02w5zwv
194,symposiachrus verticalis,/m/02w75yg
195,muscicapa tessmanni,/m/02w76k1
196,myrmeciza melanoceps,/m/02w795n
197,myzomela kuehni,/m/02w7bsj
198,myzomela nigrita,/m/02w7bw8
199,pachycephala soror,/m/02w7ljd
200,phyllomyias reiseri,/m/02w7qlv
201,ptilorrhoa castanonota,/m/02w7yfg
202,rhipidura maculipectus,/m/02w8240
203,rhipidura superflua,/m/02w82f_
204,scytalopus affinis,/m/02w875z
205,scytalopus meridanus,/m/02w87hl
206,woodfordia lacertosa,/m/02w8ntk
207,zosterops stresemanni,/m/02w8rpp
208,eremophila eriocalyx,/m/02zb889
209,eremophila miniata,/m/02zb8st
210,chloridops regiskongi,/m/03cc1xm
211,hemignathus affinis,/m/03qfybh
212,phoeniconotius eyrensis,/m/0464l82
213,zosterops lateralis gouldi,/m/047djjf
214,foudia delloni,/m/047nb5c
215,scytalopus diamantinensis,/m/04y8r0s
216,pachyornis geranoides,/m/05f76qy
217,geothlypis trichas sinuosa,/m/05h1xp_
218,astrapian sicklebill,/m/06w2tvp
219,saxicola sibilla,/m/0drymvn
220,zeltornis ginsburgi,/m/0f3t5b
221,pygoscelis tyreei,/m/0fbbb4
222,archaeospheniscus lopdelli,/m/0fbqw9
223,protopelicanus cuvierii,/m/0jt0_f6
224,rhipidura albiventris,/m/0swp7fy
225,galerida macrorhyncha,/m/0whzlcv
226,acrocephalus yamashinae,/m/0wxplhx
227,akialoa lanaiensis,/m/02vt1d0
228,eremomela atricollis,/m/02vv5h0
229,mirafra gilletti,/m/02w4lkc
230,apus sladeniae,/m/02w4ndv
231,streptoprocne phelpsi,/m/02w4p90
232,eurostopodus archboldi,/m/02w4sg3
233,phyllastrephus lorenzi,/m/02w52tr
234,cercomacroides laeta,/m/02w5_bm
235,gallirallus sharpei,/m/02w5lp3
236,nesoclopeus woodfordi,/m/02w5m3d
237,dendrocolaptes hoffmannsi,/m/02w6dp8
238,hemitriccus inornatus,/m/02w6shb
239,horizorhinus dohrni,/m/02w6tl3
240,malaconotus lagdeni,/m/02w71g3
241,melidectes rufocrissalis,/m/02w73h2
242,meliphaga reticulata,/m/02w73wg
243,symposiachrus guttula,/m/02w75m4
244,symposiachrus leucurus,/m/02w75px
245,symposiachrus menckei,/m/02w75r8
246,symposiachrus vidua,/m/02w75z4
247,muscicapa ussheri,/m/02w76kd
248,myzomela malaitae,/m/02w7btx
249,myzomela pulchella,/m/02w7bxn
250,ochthoeca jelskii,/m/02w7h3f
251,pachycephala hyperythra,/m/02w7l6s
252,ploceus dorsomaculatus,/m/02w7t1x
253,rhipidura brachyrhyncha,/m/02w81xt
254,synallaxis infuscata,/m/02w8dtd
255,synallaxis zimmeri,/m/02w8f2p
256,zosterops fuscicapilla,/m/02w8r44
257,zosterops hypoxanthus,/m/02w8r66
258,zosterops metcalfii,/m/02w8r9n
259,zosterops sanctaecrucis,/m/02w8rm8
260,zosterops splendidus,/m/02w8rnn
261,zosterops stalkeri,/m/03cbd25
262,loxioides kikuchi,/m/03cbmhr
263,buteogallus borrasi,/m/03cc_73
264,ochthoeca thoracica,/m/03cd892
265,aratinga vorohuensis,/m/03gtptc
266,struthio coppensi,/m/0479tc6
267,ptilorrhoa geislerorum,/m/04cqlcl
268,hypocnemis striata,/m/04crtjn
269,zosterops gibbsi,/m/04n566g
270,zimmerius albigularis,/m/04q2m3m
271,lord howe golden whistler,/m/05s__t9
272,bensbach's bird of paradise,/m/06w2rv1
273,diaphorapteryx hawkinsi,/m/0gtnyh
274,myzomela cineracea,/m/0gx2fz7
275,aegypius jinniushanensis,/m/0h_997d
